name,street,city,state,zip,type,website,phone,source
1634 Funk,394 Communipaw Ave,Jersey City,NJ,7304,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
4Twenty Somewhere,1938 Union Valley Rd,Hewitt,NJ,7421,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
A-Z Supply,1283 Broad St,Bloomfield,NJ,7003,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
A21 Wellness,2507 US-22,Scotch Plains,NJ,7076,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
AC Leef,470 N Albany Ave,Atlantic City,NJ,8401,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Altitude Cannabis,225 Atlantic City Blvd,Toms River,NJ,8757,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Altius NJ,60 Delsea Dr N,Glassboro,NJ,8028,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Andover Cannabis,144-146 Main St,Andover,NJ,7821,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Anja,225 Woodbridge Ave,Highland Park,NJ,8904,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Aurum Botanics,6 Fort Dix Rd,Pemberton,NJ,8068,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Baked by the River,8 Church St,Lambertville,NJ,8530,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Bakin’ Bad,2834 Atlantic Ave,Atlantic City,NJ,8401,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Bay Street Greenery,150 Bay St,Jersey City,NJ,7302,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Benedict's Supply,3523 John F. Kennedy Blvd,Jersey City,NJ,7307,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
BestBuds,135 S Broad St,Woodbury,NJ,8096,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
"Beyond Bleaf, LLC",753 Macopin Rd,West Milford,NJ,7480,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
BLKBRN Cannabis Dispensary,176 Woodbridge Ave,Highland Park,NJ,8904,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Blue Oak,1025 Broad St suite 2,Bloomfield,NJ,7003,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Blue Violets,628 Washington St,Hoboken,NJ,7030,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
BluLight Cannabis,890 Mantua Pike,Woodbury Heights,NJ,8097,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Boone Town Provisions,677 Myrtle Ave,Boonton,NJ,7005,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Botera Harrison,701 Frank E Rodgers Blvd N,Harrison,NJ,7029,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Botera Union,2290 US-22,Union,NJ,7083,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Bridge City Collective Dispensary,665 Hamilton St,Somerset,NJ,8873,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Brotherly Bud Dispensary,500 N Black Horse Pike,Mt Ephraim,NJ,8059,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Bud 2 Bloom,123 Ledgewood Ave #1a,Netcong,NJ,7857,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Bud City NJ,117 Water St,Newton,NJ,7860,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Budzooka Weed Dispensary,142 Broad St,Elizabeth,NJ,7201,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Camden Apothecary,1205 Haddon Ave,Camden,NJ,8103,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Canabhang,24 Marshall Hill Rd,West Milford,NJ,7480,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Canna Bar,58 Main St,Matawan,NJ,7747,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Canna Remedies,2175 Spruce St,Trenton,NJ,8638,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Cannabis Clubhouse,70-72 E Main St,Sussex,NJ,7461,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
CannaBoy Treehouse,57 W South Orange Ave,South Orange Village,NJ,7079,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Cannavibes,1 US-46,Elmwood Park,NJ,7407,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Canopy Crossroad,9 West St,Red Bank,NJ,7701,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Carry-On Cannabis,2379 S Black Horse Pike,Williamstown,NJ,8094,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Casa Verde Wellness,315 US-46,Dover,NJ,7801,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Castaway Cannabis,6006 US-130,Delran,NJ,8075,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Central Jersey Dispensary,2 John F Kennedy Blvd,Somerset,NJ,8873,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Citi Roots,4585 NJ-27,Kingston,NJ,8528,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
City Leaves,2516 Fire Rd,Egg Harbor Township,NJ,8234,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
CityLeaf Dispensary,519 Broadway,Newark,NJ,7104,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Cloud Nine Dispensary,513-27 US-22,North Plainfield,NJ,7060,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Conservatory Cannabis Company,2516 Fire Rd,Egg Harbor Township,NJ,8234,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Cookies Harrison,335 Angelo Cifelli Dr,Harrison,NJ,7029,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Cottonmouth Dispensary,10 E Clements Bridge Rd,Runnemede,NJ,8078,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
