name,street,city,state,zip,type,,website
1634 Funk,394 Communipaw Ave,Jersey City,NJ,7304,R,,https://1634funk.com/
4Twenty Somewhere,1938 Union Valley Rd,Hewitt,NJ,7421,R,,
A-Z Supply,1283 Broad St,Bloomfield,NJ,7003,R,,
A21 Wellness,2507 US-22,Scotch Plains,NJ,7076,R,,
AC Leef,470 N Albany Ave,Atlantic City,NJ,8401,R,,
Altitude Cannabis,225 Atlantic City Blvd,Toms River,NJ,8757,R,,
Altius NJ,60 Delsea Dr N,Glassboro,NJ,8028,R,,
Andover Cannabis,144-146 Main St,Andover,NJ,7821,R,,
Anja,225 Woodbridge Ave,Highland Park,NJ,8904,R,,
Aurum Botanics,6 Fort Dix Rd,Pemberton,NJ,8068,R,,
Baked by the River,8 Church St,Lambertville,NJ,8530,R,,
Bakin’ Bad,2834 Atlantic Ave,Atlantic City,NJ,8401,R,,
Bay Street Greenery,150 Bay St,Jersey City,NJ,7302,R,,
Benedict's Supply,3523 John F. Kennedy Blvd,Jersey City,NJ,7307,R,,
BestBuds,135 S Broad St,Woodbury,NJ,8096,R,,
"Beyond Bleaf, LLC",753 Macopin Rd,West Milford,NJ,7480,R,,
BLKBRN Cannabis Dispensary,176 Woodbridge Ave,Highland Park,NJ,8904,R,,
Blue Oak,1025 Broad St suite 2,Bloomfield,NJ,7003,R,,
Blue Violets,628 Washington St,Hoboken,NJ,7030,R,,
BluLight Cannabis,890 Mantua Pike,Woodbury Heights,NJ,8097,R,,
Boone Town Provisions,677 Myrtle Ave,Boonton,NJ,7005,R,,
Botera Harrison,701 Frank E Rodgers Blvd N,Harrison,NJ,7029,R,,
Botera Union,2290 US-22,Union,NJ,7083,R,,
Bridge City Collective Dispensary,665 Hamilton St,Somerset,NJ,8873,R,,
Brotherly Bud Dispensary,500 N Black Horse Pike,Mt Ephraim,NJ,8059,R,,
Bud 2 Bloom,123 Ledgewood Ave #1a,Netcong,NJ,7857,R,,
Bud City NJ,117 Water St,Newton,NJ,7860,R,,
Budzooka Weed Dispensary,142 Broad St,Elizabeth,NJ,7201,R,,
Camden Apothecary,1205 Haddon Ave,Camden,NJ,8103,R,,
Canabhang,24 Marshall Hill Rd,West Milford,NJ,7480,R,,
Canna Bar,58 Main St,Matawan,NJ,7747,R,,
Canna Remedies,2175 Spruce St,Trenton,NJ,8638,R,,
Cannabis Clubhouse,70-72 E Main St,Sussex,NJ,7461,R,,
CannaBoy Treehouse,57 W South Orange Ave,South Orange Village,NJ,7079,R,,
Cannavibes,1 US-46,Elmwood Park,NJ,7407,R,,
Canopy Crossroad,9 West St,Red Bank,NJ,7701,R,,
Carry-On Cannabis,2379 S Black Horse Pike,Williamstown,NJ,8094,R,,
Casa Verde Wellness,315 US-46,Dover,NJ,7801,R,,
Castaway Cannabis,6006 US-130,Delran,NJ,8075,R,,
Central Jersey Dispensary,2 John F Kennedy Blvd,Somerset,NJ,8873,R,,
Citi Roots,4585 NJ-27,Kingston,NJ,8528,R,,
City Leaves,2516 Fire Rd,Egg Harbor Township,NJ,8234,R,,
CityLeaf Dispensary,519 Broadway,Newark,NJ,7104,R,,
Cloud Nine Dispensary,513-27 US-22,North Plainfield,NJ,7060,R,,
Conservatory Cannabis Company,2516 Fire Rd,Egg Harbor Township,NJ,8234,R,,
Cookies Harrison,335 Angelo Cifelli Dr,Harrison,NJ,7029,R,,
Cottonmouth Dispensary,10 E Clements Bridge Rd,Runnemede,NJ,8078,R,,
CREAM Cannabis Dispensary,284 1st St,Jersey City,NJ,7302,R,,
Cuzzie's,2750 Mt Ephraim Ave,Camden,NJ,8104,R,,
Dank Poet Dispensary,245 E Washington Ave,Washington,NJ,7882,R,,
Daylite Cannabis,1136 NJ-73,Mt Laurel Township,NJ,8054,R,,
Dispensary of Somerset,920 Hamilton St,Somerset,NJ,8873,R,,
Dispensary of Union,1603 US-22,Union,NJ,7083,R,,
Dogwood Green,5 Central Ave,West Orange,NJ,7052,R,,
Doobiez,1612 Union Valley Rd,West Milford,NJ,7480,R,,
Earth & Ivy,355 George St,New Brunswick,NJ,8901,R,,
Earth & Ivy Lakehurst,29 Union Ave,Lakehurst,NJ,8733,R,,
Elevated by TheCannaBossLady,9 Highland Pl,Maplewood,NJ,7040,R,,
Elevated Herb,1846 NJ-23,West Milford,NJ,7480,R,,
Emerald Tea Supply,368b Broad St,Bloomfield,NJ,7003,R,,
Enlighten Dispensary,781 Rte 70 W,Marlton,NJ,8053,R,,
Everest Dispensary,1226 Atlantic Ave,Atlantic City,NJ,8401,R,,
Evergreen Nature's Remedy,1242 NJ-23,Butler,NJ,7405,R,,
Evolve Cannabis,186 US-130,Bordentown,NJ,8505,R,,
Feels of Green,474 US-206,Newton,NJ,7860,R,,
Fire and Oak,5 Washington St,Mt Holly,NJ,8060,R,,
Flower & Flame Dispensary,601 College Dr,Blackwood,NJ,8012,R,,
Flowerbomb Dispensary,1108 Clinton Ave,Irvington,NJ,7111,R,,
Fresh Dispensary Eatontown,315 NJ-35,Eatontown,NJ,7724,R,,
Fresh Elizabeth,460 Maple Ave,Elizabeth,NJ,7202,R,,
G2 Dispensary,350 US-46,Rockaway,NJ,7866,R,,
Garden Greenz,190 Newark Ave,Jersey City,NJ,7302,R,,
Garden State Natural Green,4597 NJ-27,Kingston,NJ,8528,R,,
Ginger Hale,814 White Horse Pike,Oaklyn,NJ,8107,R,,
Golden Door Dispensary,638 Newark Ave,Jersey City,NJ,7306,R,,
Got Your Six Dispensary of New Jersey,4437 NJ-27,Princeton,NJ,8540,R,,
Green Haven Industries,402 Elizabeth Ave,Elizabeth,NJ,7206,R,,
Green Knight Cannabis,831 Hamilton St,Somerset,NJ,8873,R,,
Green Lightning Cannabis,1503 Taylors Ln,Cinnaminson,NJ,8077,R,,
Green Oasis Dispensary,632 White Horse Pike,Atco,NJ,8004,R,,
Green Wellness Haven,1110 N New Rd,Pleasantville,NJ,8232,R,,
Greenstop Dispensary,516 Tonnelle Ave,Jersey City,NJ,7307,R,,
Gynsyng,14 S Center St,Merchantville,NJ,8109,R,,
Hackettstown Dispensary,321 Mountain Ave,Hackettstown,NJ,7840,R,,
Hamm & Chaz Cannabis Dispensary,747 West Side Ave,Jersey City,NJ,7306,R,,
Happy Leaf,200 N White Horse Pike,Somerdale,NJ,8083,R,,
Hashery,409 NJ-17,Hackensack,NJ,7601,R,,
Hashstoria NJ,799 Broad St,Newark,NJ,7102,R,,
Hello High,7685 Black Horse Pike,Hammonton,NJ,8037,R,,
Herb's Premium Dispensary,757 Franklin Blvd,Somerset,NJ,8873,R,,
Herbalicity,246 Raritan Ave,Highland Park,NJ,8904,R,,
High Profile Lakehurst,145 NJ-70,Lakehurst,NJ,8733,R,,
High Profile of Somerdale Dispensary,4 N White Horse Pike,Somerdale,NJ,8083,R,,
High Rollers Dispensary,120 S Indiana Ave,Atlantic City,NJ,8401,R,,
High Street Dispensary,811 High St,Hackettstown,NJ,7840,R,,
Highway 90,90 Old Marlton Pike,Evesham,NJ,8053,R,,
Holistic Re-Leaf,321 Mt Hope Ave,Rockaway,NJ,7866,R,,
Honey Buzz Farms,1724 Atlantic Ave,Atlantic City,NJ,8401,R,,
HudHaus,9001 River Rd,North Bergen,NJ,7047,R,,
Hudsonica Inc.,1427 Grand St,Hoboken,NJ,7030,R,,
HZY Goods,19 Prospect St,East Orange,NJ,7017,R,,
Indigo,302 Crescent Blvd,Brooklawn,NJ,8030,R,,
INSA Coastline Dispensary,1580 US-9,Cape May Court House,NJ,8210,R,,
Island Vibez,18 Roosevelt Ave,Plainfield,NJ,7060,R,,
J & J Cannabis Dispensary,3055 NJ-23 Unit A,Oak Ridge,NJ,7438,R,,
JC Element,365 Central Ave,Jersey City,NJ,7307,R,,
Jersey Leaf,554 West Side Ave,Jersey City,NJ,7304,R,,
Jersey Meds,7 NJ-31,Pennington,NJ,8534,R,,
Jersey Roots,1433 Union Valley Rd,West Milford,NJ,7480,R,,
Jester's Joint,70 Easton Ave,New Brunswick,NJ,8901,R,,
Joy Leaf,711 E 1st Ave,Roselle Park,NJ,7204,R,,
Kind Kush,279 US-46,Rockaway,NJ,7866,R,,
Kine Buds Maywood,113 E Passaic St,Maywood,NJ,7607,R,,
La Vida Gardens,523 Washington Ave,Belleville,NJ,7109,R,,
Lady L Cannabis,547 West Side Ave,Jersey City,NJ,7304,R,,
Leaf Haus,900 Easton Ave,Somerset,NJ,8873,R,,
Leaf Joint,391 Central Ave,Jersey City,NJ,7307,R,,
Legacy to Lifted,490 West Side Ave,Jersey City,NJ,7304,R,,
