name,street,city,state,zip,website,phone,source
1634 Funk,394 Communipaw Ave,Jersey City,NJ,07304,,,https://www.nj.gov/cannabis/dispensaries/find/
4Twenty Somewhere,1938 Union Valley Rd,Hewitt,NJ,07421,,,https://www.nj.gov/cannabis/dispensaries/find/
A-Z Supply,1283 Broad St,Bloomfield,NJ,07003,,,https://www.nj.gov/cannabis/dispensaries/find/
A21 Wellness,2507 US-22,Scotch Plains,NJ,07076,,,https://www.nj.gov/cannabis/dispensaries/find/
AC Leef,470 N Albany Ave,Atlantic City,NJ,08401,,,https://www.nj.gov/cannabis/dispensaries/find/
Altitude Cannabis,225 Atlantic City Blvd,Toms River,NJ,08757,,,https://www.nj.gov/cannabis/dispensaries/find/
Altius NJ,60 Delsea Dr N,Glassboro,NJ,08028,,,https://www.nj.gov/cannabis/dispensaries/find/
Andover Cannabis,144-146 Main St,Andover,NJ,07821,,,https://www.nj.gov/cannabis/dispensaries/find/
Anja,225 Woodbridge Ave,Highland Park,NJ,08904,,,https://www.nj.gov/cannabis/dispensaries/find/
Aurum Botanics,6 Fort Dix Rd,Pemberton,NJ,08068,,,https://www.nj.gov/cannabis/dispensaries/find/
Baked by the River,8 Church St,Lambertville,NJ,08530,,,https://www.nj.gov/cannabis/dispensaries/find/
Bakin' Bad,2834 Atlantic Ave,Atlantic City,NJ,08401,,,https://www.nj.gov/cannabis/dispensaries/find/
Bay Street Greenery,150 Bay St,Jersey City,NJ,07302,,,https://www.nj.gov/cannabis/dispensaries/find/
Benedict's Supply,3523 John F. Kennedy Blvd,Jersey City,NJ,07307,,,https://www.nj.gov/cannabis/dispensaries/find/
BestBuds,135 S Broad St,Woodbury,NJ,08096,,,https://www.nj.gov/cannabis/dispensaries/find/
"Beyond Bleaf, LLC",753 Macopin Rd,West Milford,NJ,07480,,,https://www.nj.gov/cannabis/dispensaries/find/
BLKBRN Cannabis Dispensary,176 Woodbridge Ave,Highland Park,NJ,08904,,,https://www.nj.gov/cannabis/dispensaries/find/
Blue Oak,1025 Broad St suite 2,Bloomfield,NJ,07003,,,https://www.nj.gov/cannabis/dispensaries/find/
Blue Violets,628 Washington St,Hoboken,NJ,07030,,,https://www.nj.gov/cannabis/dispensaries/find/
BluLight Cannabis,890 Mantua Pike,Woodbury Heights,NJ,08097,,,https://www.nj.gov/cannabis/dispensaries/find/
Boone Town Provisions,677 Myrtle Ave,Boonton,NJ,07005,,,https://www.nj.gov/cannabis/dispensaries/find/
Botera Harrison,701 Frank E Rodgers Blvd N,Harrison,NJ,07029,,,https://www.nj.gov/cannabis/dispensaries/find/
Botera Union,2290 US-22,Union,NJ,07083,,,https://www.nj.gov/cannabis/dispensaries/find/
Bridge City Collective Dispensary,665 Hamilton St,Somerset,NJ,08873,,,https://www.nj.gov/cannabis/dispensaries/find/
Brotherly Bud Dispensary,500 N Black Horse Pike,Mt Ephraim,NJ,08059,,,https://www.nj.gov/cannabis/dispensaries/find/
Bud 2 Bloom,123 Ledgewood Ave #1a,Netcong,NJ,07857,,,https://www.nj.gov/cannabis/dispensaries/find/
Bud City NJ,117 Water St,Newton,NJ,07860,,,https://www.nj.gov/cannabis/dispensaries/find/
Budzooka Weed Dispensary,142 Broad St,Elizabeth,NJ,07201,,,https://www.nj.gov/cannabis/dispensaries/find/
Camden Apothecary,1205 Haddon Ave,Camden,NJ,08103,,,https://www.nj.gov/cannabis/dispensaries/find/
Canabhang,24 Marshall Hill Rd,West Milford,NJ,07480,,,https://www.nj.gov/cannabis/dispensaries/find/
Canna Bar,58 Main St,Matawan,NJ,07747,,,https://www.nj.gov/cannabis/dispensaries/find/
Canna Remedies,2175 Spruce St,Trenton,NJ,08638,,,https://www.nj.gov/cannabis/dispensaries/find/
Cannabis Clubhouse,70-72 E Main St,Sussex,NJ,07461,,,https://www.nj.gov/cannabis/dispensaries/find/
CannaBoy Treehouse,57 W South Orange Ave,South Orange Village,NJ,07079,,,https://www.nj.gov/cannabis/dispensaries/find/
Cannavibes,1 US-46,Elmwood Park,NJ,07407,,,https://www.nj.gov/cannabis/dispensaries/find/
Canopy Crossroad,9 West St,Red Bank,NJ,07701,,,https://www.nj.gov/cannabis/dispensaries/find/
Casa Verde Wellness,315 US-46,Dover,NJ,07801,,,https://www.nj.gov/cannabis/dispensaries/find/
Castaway Cannabis,6006 US-130,Delran,NJ,08075,,,https://www.nj.gov/cannabis/dispensaries/find/
Citi Roots,4585 NJ-27,Kingston,NJ,08528,,,https://www.nj.gov/cannabis/dispensaries/find/
City Leaves,2516 Fire Rd,Egg Harbor Township,NJ,08234,,,https://www.nj.gov/cannabis/dispensaries/find/
CityLeaf Dispensary,519 Broadway,Newark,NJ,07104,,,https://www.nj.gov/cannabis/dispensaries/find/
Cloud Nine Dispensary,513-27 US-22,North Plainfield,NJ,07060,,,https://www.nj.gov/cannabis/dispensaries/find/
Conservatory Cannabis Company,2516 Fire Rd,Egg Harbor Township,NJ,08234,,,https://www.nj.gov/cannabis/dispensaries/find/
Cookies Harrison,335 Angelo Cifelli Dr,Harrison,NJ,07029,,,https://www.nj.gov/cannabis/dispensaries/find/
Cottonmouth Dispensary,10 E Clements Bridge Rd,Runnemede,NJ,08078,,,https://www.nj.gov/cannabis/dispensaries/find/
Cream Cannabis Dispensary,284 1st St,Jersey City,NJ,07302,,,https://www.nj.gov/cannabis/dispensaries/find/
Cuzzie's,2750 Mt Ephraim Ave,Camden,NJ,08104,,,https://www.nj.gov/cannabis/dispensaries/find/
Dank Poet Dispensary,245 E Washington Ave,Washington,NJ,07882,,,https://www.nj.gov/cannabis/dispensaries/find/
Daylite Cannabis,1136 NJ-73,Mt Laurel Township,NJ,08054,,,https://www.nj.gov/cannabis/dispensaries/find/
Dispensary of Somerset,920 Hamilton St,Somerset,NJ,08873,,,https://www.nj.gov/cannabis/dispensaries/find/
