name,street,city,state,zip,website,phone,source
1634 Funk,394 Communipaw Ave,Jersey City,NJ,7304,https://1634funk.com/,(201) 862-8877,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
4Twenty Somewhere,1938 Union Valley Rd,Hewitt,NJ,7421,https://4twentysomewhere.com/,(973) 506-4503,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
A-Z Supply,1283 Broad St,Bloomfield,NJ,7003,https://azsupplynj.com/,(973) 434-0404,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
A21 Wellness,2507 US-22,Scotch Plains,NJ,7076,https://a21dispensary.com/,(908) 228-2619,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
AC Leef,470 N Albany Ave,Atlantic City,NJ,8401,https://shop.acleef.com/acleef,(609) 350-6122,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Altitude Cannabis,225 Atlantic City Blvd,Toms River,NJ,8757,https://www.altitudecannanj.com/store,(732) 497-2629,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Altius NJ,60 Delsea Dr N,Glassboro,NJ,8028,https://altiusdispensary.com/location/glassboro,(847) 978-0843,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Andover Cannabis,144-146 Main St,Andover,NJ,7821,https://andovercannabis.llc/,(973) 437-3040,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Anja,225 Woodbridge Ave,Highland Park,NJ,8904,https://www.getanja.com/,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Aurum Botanics,6 Fort Dix Rd,Pemberton,NJ,8068,https://aurumbotanics.com/dispensary-pemberton-nj,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Baked by the River,8 Church St,Lambertville,NJ,8530,https://bakedbytheriver.com/,(609) 460-4207,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Bakin’ Bad,2834 Atlantic Ave,Atlantic City,NJ,8401,https://www.bakinbadac.com/,(609) 246-6415,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Bay Street Greenery,150 Bay St,Jersey City,NJ,7302,https://baystgreenery.com/stores/jersey-city,(201) 482-9675,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Benedict's Supply,3523 John F. Kennedy Blvd,Jersey City,NJ,7307,https://thecannabiswire.com/business/benedicts-supply-dispensary,(201) 721-5434,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
BestBuds,135 S Broad St,Woodbury,NJ,8096,https://bestbudsnj.com/,(856) 443-7739,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
"Beyond Bleaf, LLC",753 Macopin Rd,West Milford,NJ,7480,https://www.beyondbleafus.com/,(877) 420-4203,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
BLKBRN Cannabis Dispensary,176 Woodbridge Ave,Highland Park,NJ,8904,https://www.blkbrndispensary.com/shop,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Blue Oak,1025 Broad St suite 2,Bloomfield,NJ,7003,https://blueoaknj.com/,(973) 893-8111,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Blue Violets,628 Washington St,Hoboken,NJ,7030,https://www.blueviolets.co/,(201) 771-0323,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
BluLight Cannabis,890 Mantua Pike,Woodbury Heights,NJ,8097,https://blulight.com/,(856) 221-4000,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Boone Town Provisions,677 Myrtle Ave,Boonton,NJ,7005,https://boonetownnj.com/,(973) 404-1026,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Botera Harrison,701 Frank E Rodgers Blvd N,Harrison,NJ,7029,https://boteranj.com/stores/harrison,(973) 982-6391,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Botera Union,2290 US-22,Union,NJ,7083,https://boteranj.com/,(800) 222-1222,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Bridge City Collective Dispensary,665 Hamilton St,Somerset,NJ,8873,https://bridgecitycollective.com/new-brunswick-dispensary,(503) 384-2955,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Brotherly Bud Dispensary,500 N Black Horse Pike,Mt Ephraim,NJ,8059,https://brotherlybud.com/,(908) 936-3739,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Bud 2 Bloom,123 Ledgewood Ave #1a,Netcong,NJ,7857,https://bud2bloomdispensary.com/,(862) 746-0420,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Bud City NJ,117 Water St,Newton,NJ,7860,https://budcitynj.com/,(973) 440-5945,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Budzooka Weed Dispensary,142 Broad St,Elizabeth,NJ,7201,https://budzookanj.com/,(908) 380-2414,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Camden Apothecary,1205 Haddon Ave,Camden,NJ,8103,https://camdenapothecary.com/,(856) 931-6310,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Canabhang,24 Marshall Hill Rd,West Milford,NJ,7480,https://4twentysomewhere.com/,(973) 506-4503,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Canna Bar,58 Main St,Matawan,NJ,7747,https://thecannabar.com/,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Canna Remedies,2175 Spruce St,Trenton,NJ,8638,https://cannaremediesnj.com/,(609) 307-9150,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Cannabis Clubhouse,70-72 E Main St,Sussex,NJ,7461,https://www.cannabisclubhousenj.com/,(862) 351-6021,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
CannaBoy Treehouse,57 W South Orange Ave,South Orange Village,NJ,7079,https://cannaboytreehouse.com/,(973) 302-9020,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Cannavibes,1 US-46,Elmwood Park,NJ,7407,https://cannavibesnj.com/,(201) 292-4489,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
